impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,erases,table_size,active,available,tombstones,total_probes,inserts,deletes,lookups,full_scans,compactions,max_in_table,available_pct,load_factor_pct,eff_load_factor_pct,tombstones_pct,average_probes,probe_type,compaction_state
hash_map_single,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,13.555465,14892,12288,2604,1279,1024,123,132,92587,3628,2604,0,0,5,1024,9,80,90,10,14.856707,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,15.046063,14892,12288,2604,1279,1024,169,86,48436,3628,2604,0,0,6,1024,13,80,86,6,7.772144,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,5336.962791,12582912,12582912,0,1310809,138031,1172778,0,13002235,138031,0,0,0,0,138031,89,10,10,0,94.197934,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,7692.273260,12582912,12582912,0,1310809,138031,1172778,0,12933866,138031,0,0,0,0,138031,89,10,10,0,93.702618,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,977.047290,1601418,1572864,28554,163861,131072,26345,6444,6024226,159626,28554,0,0,0,131072,16,79,83,3,32.013104,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,1082.805686,1601418,1572864,28554,163861,131072,25483,7306,2575592,159626,28554,0,0,0,131072,15,79,84,4,13.686853,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,252.178350,237619,196608,41011,20479,16384,1215,2880,2082221,57395,41011,0,0,4,16384,5,80,94,14,21.159492,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,254.856182,237619,196608,41011,20479,16384,2171,1924,874354,57395,41011,0,0,6,16384,10,80,89,9,8.885170,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,30.767007,29742,24576,5166,2551,2048,433,70,224488,7214,5166,0,0,5,2048,16,80,83,2,18.133118,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,31.802746,29742,24576,5166,2551,2048,270,233,111725,7214,5166,0,0,6,2048,10,80,89,9,9.024637,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,1331.359665,3145728,3145728,0,327739,138031,189708,0,3855082,138031,0,0,0,0,138031,57,42,42,0,27.929103,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,1915.446954,3145728,3145728,0,327739,138031,189708,0,3603592,138031,0,0,0,0,138031,57,42,42,0,26.107121,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,516.424881,475551,393216,82335,40849,32768,2090,5991,4206858,115103,82335,0,0,4,32768,5,80,94,14,21.307236,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,511.446883,475551,393216,82335,40849,32768,3411,4670,1672138,115103,82335,0,0,6,32768,8,80,91,11,8.469180,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,64.153555,59406,49152,10254,5101,4096,870,135,495504,14350,10254,0,0,5,4096,17,80,82,2,20.139164,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,61.167021,59406,49152,10254,5101,4096,395,610,198036,14350,10254,0,0,6,4096,7,80,92,11,8.048935,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,2817.119028,6291456,6291456,0,655243,138031,517212,0,6794680,138031,0,0,0,0,138031,78,21,21,0,49.225754,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,3718.918778,6291456,6291456,0,655243,138031,517212,0,6675315,138031,0,0,0,0,138031,78,21,21,0,48.360984,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,1103.599087,951047,786432,164615,81931,65536,6166,10229,9086784,230151,164615,0,0,4,65536,7,79,92,12,23.018153,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,1047.995838,951047,786432,164615,81931,65536,8431,7964,3241106,230151,164615,0,0,6,65536,10,79,89,9,8.210195,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,117.356934,118774,98304,20470,10273,8192,584,1497,915328,28662,20470,0,0,4,8192,5,79,94,14,18.629976,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,121.072616,118774,98304,20470,10273,8192,1442,639,381732,28662,20470,0,0,6,8192,14,79,85,6,7.769519,double,compaction_on
